NZ_CP009261.1;672;Vibrio vulnificus;5127345;3296;2;1;0;0;0;1;0;0;0;1;1;0;0;0
NC_017253.1;713601;Buchnera aphidicola str. JF99 (Acyrthosiphon pisum);641716;404;2;1;0;0;0;1;0;0;0;1;1;0;0;0
NZ_CP008984.1;272556;Aggregatibacter actinomycetemcomitans HK1651;2105380;1274;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NZ_CP006823.1;1382923;Helicobacter pylori oki154;1599700;1012;1;1;0;0;0;1;0;0;0;0;1;0;0;0
NZ_LN907858.1;76936;Helicobacter typhlonius;1920832;1203;4;4;0;0;0;3;1;0;0;1;4;0;0;0
NC_018101.1;996634;Corynebacterium ulcerans 0102;2579188;1629;2;2;0;0;0;2;0;0;0;0;0;0;0;0
NC_017262.1;555217;Zymomonas mobilis subsp. mobilis ATCC 10988;2143461;1355;1;1;0;0;0;1;0;0;0;1;1;0;0;0
NZ_CP010276.1;96345;Flavobacterium psychrophilum;2850626;1802;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NZ_CP009408.1;319705;Mycobacterium abscessus subsp. bolletii;5064190;3210;1;1;0;0;0;1;0;0;0;1;1;0;0;0
NZ_CP007566.1;1418110;Aeromonas hydrophila AL09-71;5023861;3240;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NZ_CP007793.1;192;Azospirillum brasilense;7391279;4635;2;2;0;0;0;2;0;0;0;1;2;0;0;0
NC_004631.1;209261;Salmonella enterica subsp. enterica serovar Typhi str. Ty2;4791961;3091;1;1;0;0;0;1;0;0;0;0;1;0;0;0
NC_014501.1;497965;Cyanothece sp. PCC 7822;7841948;4979;1;1;0;0;0;1;0;0;0;1;1;0;0;0
NZ_CP007505.1;1003191;Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-19;4864410;3245;0;0;0;0;0;0;0;0;0;1;0;0;0;0
NZ_CP011004.1;1639;Listeria monocytogenes;2911639;1912;5;5;0;0;0;5;0;0;0;1;5;0;0;0
